citfunc	sectitle	refentry	art	sectype	sectype2	refid	sec	ctx	pointerlist	nbcontexts	nbsections	itrp	anchorsent	partext	potential_cf	annotator	dataset
cites_as_review	Research challenges	D. Fudenberg, J. Tirole, Game Theory , None, MIT Press (1991)	http://dx.doi.org/10.1016/j.adhoc.2012.02.016			<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/br/b0475>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/sec/4>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/ctx/ctx0068>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/itrp/0143	'A technical description of the issues arising in that context are beyond the scope of this survey: for a standard reference see [95][[ refid=''b0475'' ]].'				100_classified_citeAsReview
cites_as_review	Vision and concept	S. Dobson, S.G. Denazis, A. Fernández, D. Gaı¨ti, E. Gelenbe, F. Massacci, P. Nixon, F. Saffre, N. Schmidt, F. Zambonelli, A survey of autonomic communications , TAAS , vol. 1 (2006), pp.223-259	http://dx.doi.org/10.1016/j.adhoc.2012.02.016			<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/br/b0065>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/ctx/ctx0015>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/itrp/0174	'This includes ability to perform device and service discovery without requiring an external trigger, to build overlays and to adaptively tune protocols’ behavior to adapt to the current context [13][[ refid=''b0065'' ]].•Semantic interoperability and data management.'				100_classified_citeAsReview
cites	Related work	O.B. Akan, I.F. Akyildiz, Event-to-sink reliable transport in wireless sensor networks , IEEE/ACM Transactions on Networking , vol. 13 (2005), pp.1003-1016	http://dx.doi.org/10.1016/j.adhoc.2012.10.003	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-10-003/br/b0155>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-10-003/sec/3>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-10-003/ctx/ctx0023>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-10-003/itrp/0002	'Event-to-Sink Reliable Transport (ESRT) decreases congestion near the data sink by regulating the frequency of sensors reporting [31][[ refid=''b0155'' ]].'				100_classified_citeAsReview
cites_as_review	Related work	G. Anastasi, M. Conti, M.D. Francesco, A. Passarella, Energy conservation in wireless sensor networks: a survey , Ad Hoc Networks , vol. 7 (2009), pp.537-568	http://dx.doi.org/10.1016/j.adhoc.2012.10.003	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-10-003/br/b0045>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-10-003/sec/3>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-10-003/ctx/ctx0004>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-10-003/itrp/0028	'Hardware-level techniques are based on controlling the system power consumption by developing special design techniques for implementing low power circuits [9][[ refid=''b0045'' ]].'				100_classified_citeAsReview
cites_as_review	Introduction	A. Jøsang, R. Ismail, C. Boyd, A survey of trust and reputation systems for online service provision , Decis. Support Syst. , vol. 43 (2007), pp.618-644	http://dx.doi.org/10.1016/j.adhoc.2013.04.013	introduction		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-04-013/br/b0005>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-04-013/sec/1>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-04-013/ctx/ctx0001>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-04-013/itrp/0017	'As a result, the topic of trust in computer networks is receiving significant attention in both the academic community and the e-commerce industry [1][[ refid=''b0005'' ]].'				100_classified_citeAsReview
extends	Zero-knowledge proofs	O. Baudron, P.-A. Fouque, D. Pointcheval, J. Stern, G. Poupard, Practical multi-candidate election system , Proceedings of the 20th Annual ACM Symposium on Principles of Distributed Computing, PODC ’01, ACM (2001)	http://dx.doi.org/10.1016/j.adhoc.2013.04.013			<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-04-013/br/b0115>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-04-013/sec/appendix-a>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-04-013/ctx/ctx0039>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-04-013/itrp/0034	'The proofs can be considered as an extension of the interactive protocols that were presented in [23][[ refid=''b0115'' ]].'				100_classified_extends
extends	Introduction	J.H. Cho, A. Swami, I.R. Chen, Modeling and analysis of trust management protocols: altruism versus selfishness in MANETs, in: M. Nishigaki, A. Jøsang, Y. Murayama, S. Marsh (Eds.), 4th IFIP Int’l Conf. on Trust Management, Morioka, Japan, 14–18 June 2010; Trust Management IV, IFIP Advances in Information and Communication Technology, Springer, 2010, vol. 321, pp. 141–15.	http://dx.doi.org/10.1016/j.adhoc.2013.05.004	introduction		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-05-004/br/b0160>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-05-004/sec/1>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-05-004/ctx/ctx0040>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-05-004/itrp/0028	'This paper significantly extends our preliminary work published in [32][[ refid=''b0160'' ]].'				100_classified_extends
cites_as_review	Introduction	J.H. Cho, A. Swami, I.R. Chen, A survey of trust management in mobile ad hoc networks , IEEE Communications Surveys and Tutorials , vol. 13 (2011), pp.562-583	http://dx.doi.org/10.1016/j.adhoc.2013.05.004	introduction		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-05-004/br/b0180>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-05-004/sec/1>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-05-004/ctx/ctx0035>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-05-004/itrp/0062	'Recently trust has been applied to security applications such as secure routing or intrusion detection in MANETs [36][[ refid=''b0180'' ]].'				100_classified_citeAsReview
uses_method_in	Performance evaluation	R. Forre, The strict avalanche criterion: spectral properties of Booleans functions and an extended definition , Advances in cryptology, Crypto’88, Lecture Notes in Computer Science , vol. 403 (1990), pp.450-468	http://dx.doi.org/10.1016/j.adhoc.2013.07.006	results		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-07-006/br/b0155>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-07-006/sec/5>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-07-006/ctx/ctx0026>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2013-07-006/itrp/0006	'If a bit error occurs in the encrypted message block during transmission in the wireless channel, this error will expand to all bits of the decrypted message with a probability of 50%; this is a result of the Strict Avalanche Criterion (SAC) of the encryption algorithms [31][[ refid=''b0155'' ]].'				100_classified_extends
cites_as_review	Preliminaries	S. Ozdemir, Y. Xiao, Secure data aggregation in wireless sensor networks: a comprehensive overview , Comput. Netw. , vol. 53 (2009), pp.2022-2037	http://dx.doi.org/10.1016/j.adhoc.2014.03.009			<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-03-009/br/b0145>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-03-009/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-03-009/ctx/ctx0008>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-03-009/itrp/0016	'Their functionalities are sometimes gathering and processing data from each sensor node before forwarding non-redundant information, sending commands to the sensor network, facilitating authentication schemes, etc. [29][[ refid=''b0145'' ]].'				100_classified_citeAsReview
cites	Related work	M. Reed, P. Syverson, D. Goldschlag, Anonymous connections and onion routing , IEEE J. Sel. Areas Commun. , vol. 16 (1998), pp.482-494	http://dx.doi.org/10.1016/j.adhoc.2014.10.018	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-10-018/br/b0140>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-10-018/sec/3>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-10-018/ctx/ctx0024>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-10-018/itrp/0010	'The idea of having a cascade of mix servers was expanded in [28][[ refid=''b0140'' ]] which proposed onion routing mechanisms that became the de facto privacy preserving protocols.'				100_classified_extends
cites_as_review	Related work	L. Xu, W. He, S. Li, Internet of things in industries: a survey , IEEE Trans. Ind. Inform. (2014)	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0110>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0022>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0066	'Recently, Xu et al. [22][[ refid=''b0110'' ]] has reviewed advances of IoT for industries.'				100_classified_citeAsReview
cites_as_review	Related work	C. Perera, A. Zaslavsky, P. Christen, D. Georgakopoulos, Context aware computing for the internet of things: a survey , IEEE Commun. Surv. Tutorials , vol. 16 (2014), pp.414-454	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0115>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0023>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0067	'A comprehensive survey and analysis of context aware systems for the IoT is presented in [23][[ refid=''b0115'' ]].'				100_classified_citeAsReview
cites_as_review	Related work	D. Singh, G. Tripathi, A.J. Jara, A survey of Internet-of-Things: Future vision, architecture, challenges and services, in: 2014 IEEE World Forum on Internet of Things (WF-IoT), Seoul, Korea, 2014, pp. 287–292.	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0100>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0020>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0068	'More recently, an insight on IoT vision, architecture, and services has been presented in [20][[ refid=''b0100'' ]].'				100_classified_citeAsReview
cites_as_review	Related work	D. Zeng, S. Guo, Z. Cheng, The web of things: a survey , J. Commun. , vol. 6 (2011), pp.424-438	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0130>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0026>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0070	'To the best of our knowledge, the work in [26][[ refid=''b0130'' ]] is the only comprehensive WoT survey.'				100_classified_citeAsReview
cites_as_review	Related work	T.-Y. Chung, I. Mashal, O. Alsaryrah, V. Huy, W.-H. Kuo, D.P. Agrawal, Social web of things: a survey , 19th IEEE International Conference on Parallel and Distributed Systems, IEEE (2013)	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0135>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0027>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0071	'Other than our previous work in [27][[ refid=''b0135'' ]], no other researcher has conducted any survey on SWoT.'				100_classified_citeAsReview
cites_as_review	Related work	C.-W. Tsai, C.-F. Lai, M.-C. Chiang, L.T. Yang, Data mining for internet of things: a survey , IEEE Commun. Surv. Tutorials , vol. 16 (2014), pp.77-97	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0120>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0024>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0072	'Tsai et al. [24][[ refid=''b0120'' ]] analyze and discuss several studies on applying data mining techniques for the IoT from different perspective.'				100_classified_citeAsReview
cites_as_review	Related work	T.L. Koreshoff, T. Robertson, T.W. Leong, Internet of things: a review of literature and products , Proceedings of the 25th Australian Computer–Human Interaction Conference. Augmentation, Application, Innovation, Collaboration, ACM (2013)	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0125>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0025>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0073	'Koreshoff et al. [25][[ refid=''b0125'' ]] examine and review 93 commercial products of the IoT and provide insights and full details of the types of sensors to be used in these applications by categorizing them and show how people can easily interact with them.'				100_classified_citeAsReview
cites_as_review	Related work	D. Miorandi, S. Sicari, F. De Pellegrini, I. Chlamtac, Internet of things: vision, applications and research challenges , Ad Hoc Netw. , vol. 10 (2012), pp.1497-1516	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0095>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0019>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0150	'Another good survey is [19][[ refid=''b0095'' ]] where IoT key issues, research challenges, and research directions have been identified.'				100_classified_citeAsReview
cites_as_review	Related work	L. Atzori, A. Iera, G. Morabito, The internet of things: a survey , Comput. Netw. , vol. 54 (2010), pp.2787-2805	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0090>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0018>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0151	'Atzori et al. [18][[ refid=''b0090'' ]] provide a comprehensive survey the IoT from three different angles: Internet, things, and semantics.'				100_classified_citeAsReview
cites_as_review	Related work	K. Al Nuaimi, M. Al Nuaimi, N. Mohamed, I. Jawhar, K. Shuaib, Web-based wireless sensor networks: a survey of architectures and applications , Proceedings of the 6th International Conference on Ubiquitous Information Management and Communication, ACM (2012)	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0065>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0013>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0152	'A survey on Web-based wireless sensor architecture and Web applications is presented in [13][[ refid=''b0065'' ]], including design challenges for sensor Web.'				100_classified_citeAsReview
cites_as_review	Related work	J. Yick, B. Mukherjee, D. Ghosal, Wireless sensor network survey , Comput. Netw. , vol. 52 (2008), pp.2292-2330	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0060>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0012>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0153	'Similarly, a comprehensive survey can be found in [12][[ refid=''b0060'' ]] where the authors summarize and compare different designs, platform, algorithms, communication protocols, and services.'				100_classified_citeAsReview
cites_as_review	Related work	I.F. Akyildiz, W. Su, Y. Sankarasubramaniam, E. Cayirci, Wireless sensor networks: a survey , Comput. Netw. , vol. 38 (2002), pp.393-422	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0055>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0011>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0154	'In the WSN field, a comprehensive survey of WSN design issues, protocols, physical constraints, routing, and applications has been introduced in [11][[ refid=''b0055'' ]].'				100_classified_citeAsReview
cites_as_review	Related work	F. Oppermann, C. Boano, K. Römer, A decade of wireless sensing applications: survey and taxonomy , The Art of Wireless Sensor Networks, Springer (2014)	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0085>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0017>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0156	'Different sensor network applications survey has been conducted, with most recent work presented in [17][[ refid=''b0085'' ]] where the authors cover a large number of applications from different domains.'				100_classified_citeAsReview
cites_as_review	Related work	M. Chen, J. Wan, S. Gonzalez, X. Liao, V.C.M. Leung, A survey of recent developments in home M2M networks , IEEE Commun. Surv. Tutorials , vol. 16 (2014), pp.98-114	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0080>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0016>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0157	'More recently, Chen et al. [16][[ refid=''b0080'' ]] survey and summarize advancements in home communication technologies specifically for Machine-to-Machine (M2M) exchange, and discuss state-of-the-art research on recent developments in communication protocols.'				100_classified_citeAsReview
cites_as_review	Related work	J.J. Rodrigues, P.A. Neves, A survey on IP-based wireless sensor network solutions , Int. J. Commun Syst , vol. 23 (2010), pp.963-981	http://dx.doi.org/10.1016/j.adhoc.2014.12.006	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/br/b0070>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/ctx/ctx0014>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2014-12-006/itrp/0159	'Analogously, the research activities reported in [14][[ refid=''b0070'' ]] provide an overview of architectures for IP-based sensor networks.'				100_classified_citeAsReview
